Molecule List Name,Precursor Name,ProductName,Precursor m/z,Product m/z,Explicit Retention Time,Explicit Retention Time Window,Explicit Declustering Potential,Explicit Collision Energy,Precursor Charge,Product  Charge,PrecursorAdduct
DG,DG 16:0_18:0 [NL-18:0],-FA 18:0(-H)-(H2O+NH3),614.5718,313.2737,10.50,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_18:1 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),612.5562,339.2894,10.00,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_18:1 [NL-18:1],#NAME?,612.5562,313.2737,10.00,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_18:2 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),610.5405,337.2737,9.45,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_18:2 [NL-18:2],#NAME?,610.5405,313.2737,9.45,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_20:0 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),642.6031,369.3363,11.00,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_20:0 [NL-20:0],-FA 20:0(-H)-(H2O+NH3),642.6031,313.2737,11.00,1.4,380,25,1,1,[M+NH4]1+
DG,"DG 16:0_20:3 [-H2O+NH3,35]","-(H2O+NH3,35)",636.5562,601.5190,9.75,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_20:3 [NL-20:3],#NAME?,636.5562,313.2737,9.75,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_20:4 [NL-20:4],#NAME?,634.5405,313.2737,9.31,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_22:5 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),660.5562,387.2894,9.85,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_22:5 [NL-22:5],#NAME?,660.5562,313.2737,9.85,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_22:6 [NL-22:6],#NAME?,658.5405,313.2737,9.01,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:1_16:1 [NL-16:1],#NAME?,582.5092,311.2581,8.16,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:1_18:0 [NL-18:0],-FA 18:0(-H)-(H2O+NH3),612.5562,311.2581,10.00,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:1_18:1 [NL-16:1],#NAME?,610.5405,339.2894,9.45,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:1_18:1 [NL-18:1],#NAME?,610.5405,311.2581,9.45,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:0_18:0 [NL-18:0],-FA 18:0(-H)-(H2O+NH3),642.6031,341.3050,11.00,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:0_18:1 [NL-18:0],-FA 18:0(-H)-(H2O+NH3),640.5875,339.2894,10.40,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:0_18:1 [NL-18:1],#NAME?,640.5875,341.3050,10.40,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:0_18:2 [NL-18:0],-FA 18:0(-H)-(H2O+NH3),638.5718,337.2737,10.26,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:0_18:2 [NL-18:2],#NAME?,638.5718,341.3050,10.26,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:0_20:4 [NL-18:0],-FA 18:0(-H)-(H2O+NH3),662.5718,361.2737,10.60,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:0_20:4 [NL-20:4],#NAME?,662.5718,341.3050,10.23,1.4,380,25,1,1,[M+NH4]1+
DG,"DG 18:1_18:1 [-H2O+NH3,35]","-(H2O+NH3,35)",638.5718,603.5347,10.26,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_18:1 [NL-18:1],#NAME?,638.5718,339.2894,10.22,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_18:2 [NL-18:1],#NAME?,636.5562,337.2737,10.26,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_18:2 [NL-18:2],#NAME?,636.5562,339.2894,9.75,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_18:3 [NL-18:3],#NAME?,634.5405,339.2894,8.95,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_20:0 [NL-18:1],#NAME?,668.6188,369.3363,9.20,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_20:0 [NL-20:0],-FA 20:0(-H)-(H2O+NH3),668.6188,339.2894,9.20,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_20:3 [NL-18:1],#NAME?,662.5718,363.2894,10.60,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_20:3 [NL-20:3],#NAME?,662.5718,339.2894,10.18,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_20:4 [NL-18:1],#NAME?,660.5562,361.2737,9.85,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:1_20:4 [NL-20:4],#NAME?,660.5562,339.2894,9.60,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:2_18:2 [NL-18:2],#NAME?,634.5405,337.2737,8.85,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:2_20:3 [NL-18:2],#NAME?,660.5562,363.2894,9.85,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:2_20:3 [NL-20:3],#NAME?,660.5562,337.2737,9.85,1.4,380,25,1,1,[M+NH4]1+
DG,DG 18:2_20:4 [NL-20:4],#NAME?,658.5405,337.2737,8.65,1.4,380,25,1,1,[M+NH4]1+
